model_root,pair,dataset,domain,run,model,base_accuracy_strict,base_f1_macro_strict,accuracy_strict,f1_macro_strict,delta_accuracy_strict,delta_f1_macro_strict,delta_acc_bucket,delta_f1_bucket,n_total,source_file
qwen-3b_newlayout,decision,sst2,movie,avg,F,0.7585,0.7547073485797242,0.8106,0.8096787734133709,0.052100000000000035,0.0549714248336467,improve,improve,10000.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,decision,fiqasa,finance,avg,T,0.7570332480818415,0.6343998774617803,0.7024722932651322,0.6056967627951487,-0.054560954816709306,-0.028703114666631557,decline,decline,1173.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,decision,imdb,movie,avg,T,0.9315,0.93143453300646,0.9267,0.9265610351187034,-0.0048000000000000265,-0.004873497887756595,tie,tie,10000.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,decision,imdb_sklearn,movie,avg,T,0.9195,0.9192950359506324,0.9107,0.9106556960035432,-0.00880000000000003,-0.008639339947089208,decline,decline,10000.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,decision,mental,mental,avg,T,0.899549563738306,0.899497582631908,0.9095032601505654,0.909180696782071,0.009953696412259405,0.009683114150162986,improve,improve,31747.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,decision,news,finance,avg,T,0.7816612186740424,0.7485947871882003,0.7950716620568268,0.7562167187262708,0.01341044338278441,0.007621931538070559,improve,improve,11931.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,decision,sst2,movie,avg,T,0.7585,0.7547073485797242,0.7084,0.6989326267045294,-0.05009999999999992,-0.05577472187519483,decline,decline,10000.0,qwen-3b_newlayout/decision/summaries/sentiment.csv
qwen-3b_newlayout,energy,fiqasa,finance,avg,E,0.7570332480818415,0.6343998774617803,0.7945439045183291,0.6514843484883209,0.037510656436487655,0.01708447102654065,improve,improve,1173.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,energy,imdb,movie,avg,E,0.9315,0.93143453300646,0.9357,0.9356775070674463,0.0041999999999999815,0.004242974060986393,tie,tie,10000.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,energy,imdb_sklearn,movie,avg,E,0.9195,0.9192950359506324,0.9345,0.9344852586066013,0.015000000000000013,0.01519022265596881,improve,improve,10000.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,energy,mental,mental,avg,E,0.899549563738306,0.899497582631908,0.8764922669858569,0.8764397233283066,-0.023057296752449052,-0.02305785930360149,decline,decline,31747.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
qwen-3b_newlayout,energy,news,finance,avg,E,0.7816612186740424,0.7485947871882003,0.7829184477411785,0.7484372080395824,0.0012572290671361008,-0.00015757914861791456,tie,tie,11931.0,qwen-3b_newlayout/energy/summaries/sentiment.csv
