pair,dataset,run,model,test,statistic,df,p_value,effect_cramers_v,effect_tv,effect_js,n_total,n_used,n_dropped,labels,model_root,dimension
ST-NF,imdb,run-001,NF,stuart_maxwell,545.0946198807853,2,4.3073209688530346e-119,0.1650900693380412,0.0545,0.0027315800925023,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,imdb,run-002,NF,stuart_maxwell,563.4397804963087,2,4.4730754407449404e-123,0.1678451340516472,0.0561999999999999,0.0034704318060619,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,imdb,run-001,ST,stuart_maxwell,526.0615693423182,2,5.850347277495002e-115,0.1621822384452622,0.0527999999999999,0.004044705313014,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,imdb,run-002,ST,stuart_maxwell,511.4603574931449,2,8.66551771102956e-112,0.1599156586287198,0.0513999999999999,0.0041968910754752,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,mental,run-001,NF,mcnemar_exact,2002.0,1,2.6918946107268347e-34,0.0701704539141479,0.0181206488791179,0.0005042495402954,31747,30021,1726,normal|depression,llama-3b_newlayout,ST-NF
ST-NF,mental,run-002,NF,mcnemar_exact,1997.0,1,1.985113346717787e-15,0.0457793392177445,0.011789319872476,0.0002102490354241,31747,30112,1635,normal|depression,llama-3b_newlayout,ST-NF
ST-NF,mental,run-001,ST,mcnemar_exact,8879.0,1,0.0,0.5356225900803824,0.2883203341709363,0.0759590937794001,31747,30643,1104,normal|depression,llama-3b_newlayout,ST-NF
ST-NF,mental,run-002,ST,mcnemar_exact,9388.0,1,0.0,0.5505481743971635,0.3042050147972291,0.0834642268066123,31747,30749,998,normal|depression,llama-3b_newlayout,ST-NF
ST-NF,news,run-001,NF,stuart_maxwell,3462.664530951786,2,0.0,0.380935799405164,0.2906713603218506,0.0655279834564312,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,ST-NF
ST-NF,news,run-002,NF,stuart_maxwell,3476.2125758396496,2,0.0,0.3816802978885787,0.2918447741178442,0.0658685709858094,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,ST-NF
ST-NF,news,run-001,ST,stuart_maxwell,2211.335031183349,2,0.0,0.3044204700946741,0.1853993797669935,0.030047677354056,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,ST-NF
ST-NF,news,run-002,ST,stuart_maxwell,2178.316764272392,2,0.0,0.3021392147930575,0.1825496605481518,0.0291768585313853,11931,11931,0,neutral|bearish|bullish,llama-3b_newlayout,ST-NF
ST-NF,fiqasa,run-001,NF,stuart_maxwell,369.4532278992336,2,5.946355928252832e-81,0.3968402629906007,0.3086104006820119,0.1064542176375758,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,fiqasa,run-002,NF,stuart_maxwell,385.3718779548442,2,2.0775905525745766e-84,0.4052994419708858,0.3231031543052003,0.1168293223128907,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,fiqasa,run-001,ST,stuart_maxwell,84.49078138718174,2,4.49841932201967e-19,0.1897757250697205,0.0818414322250639,0.0048895018728093,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,fiqasa,run-002,ST,stuart_maxwell,46.81949020287844,2,6.812035141119896e-11,0.1412698019720547,0.0554134697357203,0.0022275192548727,1173,1173,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,imdb_sklearn,run-001,NF,stuart_maxwell,635.4252139106165,2,1.0451243545121176e-138,0.1782449457783609,0.0642,0.0049840431547127,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,imdb_sklearn,run-002,NF,stuart_maxwell,646.9389662700233,2,3.3036072487483526e-141,0.179852573830627,0.0652999999999999,0.0054498847375268,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,imdb_sklearn,run-001,ST,stuart_maxwell,513.193113859374,2,3.6436046702150605e-112,0.1601863155608764,0.0514999999999999,0.00522609933032,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,imdb_sklearn,run-002,ST,stuart_maxwell,501.91630738016784,2,1.0239026423498044e-109,0.1584165880487532,0.0502,0.005323238683987,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,sst2,run-001,NF,stuart_maxwell,1441.6981403186735,2,0.0,0.2684863255660029,0.1411,0.0146554753240823,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,sst2,run-002,NF,stuart_maxwell,1471.5115069824496,2,0.0,0.2712481803609426,0.1439999999999999,0.0152617949924375,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,sst2,run-001,ST,stuart_maxwell,1409.800969290558,2,7.338532596397326e-307,0.2654996204602332,0.1399,0.0173469772473565,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
ST-NF,sst2,run-002,ST,stuart_maxwell,1356.446188431816,2,2.827825996537114e-295,0.2604271672110857,0.1348,0.016245933192008,10000,10000,0,positive|negative|neutral,llama-3b_newlayout,ST-NF
