model,dataset,variant,label,proportion,macro_f1
Qwen2.5-7B,SST-2,J,negative,0.5235208028434037,0.8941314687129662
Qwen2.5-7B,SST-2,P,positive,0.48047412424595193,0.893496960524619
Qwen2.5-7B,SST-2,P,negative,0.519525875754048,0.893496960524619
Qwen2.5-7B,News,Base,bullish,0.30408180370463506,0.7504109565050944
Qwen2.5-7B,News,Base,neutral,0.5836057329645462,0.7504109565050944
Qwen2.5-7B,News,Base,bearish,0.11231246333081882,0.7504109565050944
Qwen2.5-7B,News,E,bullish,0.3184980303411281,0.7461987546451421
Qwen2.5-7B,News,E,neutral,0.5642444053306512,0.7461987546451421
Qwen2.5-7B,News,E,bearish,0.1172575643282206,0.7461987546451421
Qwen2.5-7B,News,I,bullish,0.274914089347079,0.7614988531408282
Qwen2.5-7B,News,I,neutral,0.6116838487972509,0.7614988531408282
Qwen2.5-7B,News,I,bearish,0.1134020618556701,0.7614988531408282
Qwen2.5-7B,News,S,bullish,0.2891626854412874,0.7580260444108776
Qwen2.5-7B,News,S,neutral,0.5963456541781913,0.7580260444108776
Qwen2.5-7B,News,S,bearish,0.1144916603805213,0.7580260444108776
Qwen2.5-7B,News,N,bullish,0.30676389238119184,0.7457914007611346
Qwen2.5-7B,News,N,neutral,0.581677981728271,0.7457914007611346
Qwen2.5-7B,News,N,bearish,0.11155812589053721,0.7457914007611346
Qwen2.5-7B,News,F,bullish,0.3483362668678233,0.7317573548274301
Qwen2.5-7B,News,F,neutral,0.5344061688039561,0.7317573548274301
Qwen2.5-7B,News,F,bearish,0.1172575643282206,0.7317573548274301
Qwen2.5-7B,News,T,bullish,0.28639678149358816,0.7463662000093098
Qwen2.5-7B,News,T,neutral,0.6164613192523679,0.7463662000093098
Qwen2.5-7B,News,T,bearish,0.09714189925404401,0.7463662000093098
Qwen2.5-7B,News,J,bullish,0.31481015841086246,0.751326658772408
Qwen2.5-7B,News,J,neutral,0.560640348671528,0.751326658772408
Qwen2.5-7B,News,J,bearish,0.12454949291760953,0.751326658772408
Qwen2.5-7B,News,P,bullish,0.2780990696504903,0.7530542911939984
Qwen2.5-7B,News,P,neutral,0.6191434079289246,0.7530542911939984
Qwen2.5-7B,News,P,bearish,0.102757522420585,0.7530542911939984
Qwen2.5-7B,Mental,Base,normal,0.38420588420588425,0.8374913556458466
Qwen2.5-7B,Mental,Base,depression,0.6157941157941158,0.8374913556458466
Qwen2.5-7B,Mental,E,normal,0.34173581096002775,0.8024795677945966
Qwen2.5-7B,Mental,E,depression,0.6582641890399723,0.8024795677945966
Qwen2.5-7B,Mental,I,normal,0.3220804648518916,0.7848187247937061
Qwen2.5-7B,Mental,I,depression,0.6779195351481084,0.7848187247937061
Qwen2.5-7B,Mental,S,normal,0.3615336068160303,0.8203253156377163
Qwen2.5-7B,Mental,S,depression,0.6384663931839697,0.8203253156377163
Qwen2.5-7B,Mental,N,normal,0.30056507876377175,0.7626888513588075
Qwen2.5-7B,Mental,N,depression,0.6994349212362282,0.7626888513588075
Qwen2.5-7B,Mental,F,normal,0.3483903483903484,0.8047192259107003
Qwen2.5-7B,Mental,F,depression,0.6516096516096517,0.8047192259107003
Qwen2.5-7B,Mental,T,normal,0.4184280989132147,0.8660651775380782
Qwen2.5-7B,Mental,T,depression,0.5815719010867854,0.8660651775380782
Qwen2.5-7B,Mental,J,normal,0.32556305595861457,0.7869485113524266
Qwen2.5-7B,Mental,J,depression,0.6744369440413854,0.7869485113524266
Qwen2.5-7B,Mental,P,normal,0.3430613083757549,0.8046783852678219
Qwen2.5-7B,Mental,P,depression,0.6569386916242451,0.8046783852678219
