model_root,pair,model,dataset,test,n_rows,n_sig_p_lt_0.05,sig_rate,p_min,p_median,p_max,effect_cramers_v_median,effect_tv_median,effect_js_median
qwen-7b_newlayout,decision,T,sst2,stuart_maxwell,2,2,1.0,1.294711898068751e-83,1.294711898068751e-83,1.294711898068751e-83,0.13815074177167444,0.0383,0.0018432466628276372
qwen-7b_newlayout,energy,E,fiqasa,stuart_maxwell,2,2,1.0,1.591815709225002e-10,1.591815709225002e-10,1.591815709225002e-10,0.1386851408578519,0.03836317135549874,0.001340517619395071
qwen-7b_newlayout,energy,E,imdb,stuart_maxwell,2,2,1.0,6.391407585352034e-13,6.391407585352034e-13,6.391407585352034e-13,0.05298929296130802,0.005599999999999994,3.6640873330186815e-05
qwen-7b_newlayout,energy,E,imdb_sklearn,stuart_maxwell,2,2,1.0,3.297123314609538e-25,3.297123314609538e-25,3.297123314609538e-25,0.07508100755810061,0.013,0.0005813427039944113
qwen-7b_newlayout,energy,E,mental,mcnemar_exact,2,2,1.0,2.4749062870798395e-225,5.438977559538105e-225,8.40304883199637e-225,0.1712203208451515,0.04154176380669754,0.0013459925068454491
qwen-7b_newlayout,energy,E,news,stuart_maxwell,2,2,1.0,4.064623281749445e-48,4.064623281749445e-48,4.064623281749445e-48,0.09563508867979802,0.01936132763389488,0.0002766252054467533
qwen-7b_newlayout,energy,E,sst2,stuart_maxwell,2,2,1.0,2.4169539555852844e-34,2.4169539555852844e-34,2.4169539555852844e-34,0.08798033025085283,0.014199999999999994,0.00015969819043357928
qwen-7b_newlayout,energy,I,fiqasa,stuart_maxwell,2,2,1.0,1.2501528663867415e-09,1.2501528663867415e-09,1.2501528663867415e-09,0.13219892525934995,0.03665814151747654,0.0012317544860523683
qwen-7b_newlayout,energy,I,imdb,stuart_maxwell,2,2,1.0,4.654558727749397e-16,4.654558727749397e-16,4.654558727749397e-16,0.05941676057897872,0.0067999999999999615,3.750224864617354e-05
qwen-7b_newlayout,energy,I,imdb_sklearn,stuart_maxwell,2,2,1.0,3.4390344703568714e-06,3.4390344703568714e-06,3.4390344703568714e-06,0.03546874652873714,0.003800000000000002,0.0004442873087498159
