dataset,df,effect_cramers_v,effect_js,effect_tv,labels,model,model_root,n_dropped,n_total,n_used,p_value,pair,run,source_file,statistic,test
news,2,0.26758389072785327,0.017622999100252494,0.15095130332746626,neutral|bearish|bullish,N,llama-3b_newlayout,0,11931,11931,0.0,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,1708.5463687257036,stuart_maxwell
news,2,0.26966498918853676,0.017929907487843712,0.1523761629368871,neutral|bearish|bullish,N,llama-3b_newlayout,0,11931,11931,0.0,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,1735.2257029749082,stuart_maxwell
news,2,0.23393400791214877,0.008576716432466353,0.09596848545805048,neutral|bearish|bullish,S,llama-3b_newlayout,0,11931,11931,2.742195838067932e-284,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,1305.8508148202088,stuart_maxwell
news,2,0.23075260881453716,0.008193197408779454,0.09186153717207274,neutral|bearish|bullish,S,llama-3b_newlayout,0,11931,11931,1.2539704239103412e-276,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,1270.5743416196449,stuart_maxwell
fiqasa,2,0.14332806611219165,0.0031393977484014766,0.050298380221653866,positive|negative|neutral,N,llama-3b_newlayout,0,1173,1173,3.4266181504819126e-11,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,48.193724420190996,stuart_maxwell
fiqasa,2,0.16623459330000115,0.003634673001798738,0.05967604433077578,positive|negative|neutral,N,llama-3b_newlayout,0,1173,1173,8.36590705936107e-15,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,64.82922326256099,stuart_maxwell
fiqasa,2,0.3549326298901221,0.08143386289982996,0.2446717817561807,positive|negative|neutral,S,llama-3b_newlayout,0,1173,1173,6.664590885927896e-65,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,295.5424449506454,stuart_maxwell
fiqasa,2,0.3535164743157939,0.07788562650408382,0.2404092071611253,positive|negative|neutral,S,llama-3b_newlayout,0,1173,1173,2.162065580380076e-64,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,293.1887637993224,stuart_maxwell
imdb_sklearn,2,0.0690533659348975,0.00018469796477463998,0.013699999999999967,positive|negative|neutral,N,llama-3b_newlayout,0,10000,10000,1.9554365807860666e-21,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,95.36734693877725,stuart_maxwell
imdb_sklearn,2,0.07914285964640068,0.00023619946667313303,0.01610000000000001,positive|negative|neutral,N,llama-3b_newlayout,0,10000,10000,6.274289639408248e-28,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,125.27184466019753,stuart_maxwell
imdb_sklearn,2,0.13007647559325408,0.0008924461497525557,0.035,positive|negative|neutral,S,llama-3b_newlayout,0,10000,10000,3.294985785336889e-74,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,338.39779005524855,stuart_maxwell
imdb_sklearn,2,0.12458554043799604,0.0007549279690241602,0.032200000000000006,positive|negative|neutral,S,llama-3b_newlayout,0,10000,10000,3.897040665263276e-68,information,run-002,llama-3b_newlayout/information/summaries/sentiment_significance.csv,310.4311377245509,stuart_maxwell
sst2,2,0.20706964721490975,0.01327212180264058,0.07609999999999997,positive|negative|neutral,N,llama-3b_newlayout,0,10000,10000,6.08011987954865e-187,information,run-001,llama-3b_newlayout/information/summaries/sentiment_significance.csv,857.5567759541436,stuart_maxwell
